T;Theta_0
0;-93.55
100;-237.55
200;-109.55
300;-197.55
400;-80.55
500;-130.55
600;-129.55
700;38.45
800;8.45
900;-144.55
1000;94.45
1100;-21.55
1200;-90.55
1300;-18.55
1400;-100.55
1500;53.45
1600;-16.55
1700;28.45
1800;-74.55
1900;187.45
2000;-105.55
2100;-172.55
2200;-99.55
2300;-102.55
2400;72.45
2500;-112.55
2600;-75.55
2700;3.45
2800;1.45
2900;-155.55
3000;245.45
3100;25.45
3200;-38.55
3300;-153.55
3400;-83.55
3500;-378.55
3600;-161.55
3700;-191.55
3800;9.45
3900;-28.55
4000;97.45
4100;-70.55
4200;22.45
4300;-103.55
4400;-82.55
4500;1.45
4600;-74.55
4700;35.45
4800;-102.55
4900;-128.55
5000;-95.55
5100;-121.55
5200;-34.55
5300;-171.55
5400;37.45
5500;-88.55
5600;-80.55
5700;88.45
5800;53.45
5900;-110.55
6000;-70.55
6100;-58.55
6200;-195.55
6300;143.45
6400;-181.55
6500;-152.55
6600;-0.55
6700;-328.55
6800;-220.55
6900;-24.55
7000;-127.55
7100;64.45
7200;-212.55
7300;-112.55
7400;-228.55
7500;-2.55
7600;42.45
7700;-147.55
7800;-117.55
7900;28.45
8000;-62.55
8100;15.45
8200;-249.55
8300;-191.55
8400;-13.55
8500;-111.55
8600;199.45
8700;-152.55
8800;-68.55
8900;-102.55
9000;211.45
9100;-245.55
9200;-92.55
9300;-67.55
9400;-62.55
9500;4.45
9600;-53.55
9700;70.45
9800;-65.55
9900;-110.55
10000;-130.55
10100;-47.55
10200;-70.55
10300;-100.55
10400;-206.55
10500;-187.55
10600;59.45
10700;-89.55
10800;-80.55
10900;-32.55
11000;-43.55
11100;31.45
11200;17.45
11300;17.45
11400;11.45
11500;11.45
11600;-31.55
11700;63.45
11800;-261.55
11900;93.45
12000;-205.55
12100;-49.55
12200;-41.55
12300;-296.55
12400;56.45
12500;-81.55
12600;-2.55
12700;64.45
12800;-57.55
12900;20.45
13000;-189.55
13100;-1.55
13200;-77.55
13300;-120.55
13400;245.45
13500;5.45
13600;-81.55
13700;-102.55
13800;-157.55
13900;-3.55
14000;136.45
14100;-26.55
14200;40.45
14300;-175.55
14400;-30.55
14500;-82.55
14600;-195.55
14700;-94.55
14800;-15.55
14900;-111.55
15000;-297.55
15100;-156.55
15200;-163.55
15300;-28.55
15400;120.45
15500;1.45
15600;111.45
15700;-49.55
15800;-136.55
15900;-369.55
16000;-282.55
16100;-145.55
16200;-113.55
16300;-159.55
16400;-51.55
16500;45.45
16600;-96.55
16700;-45.55
16800;2.45
16900;-277.55
17000;-300.55
17100;-128.55
17200;52.45
17300;-113.55
17400;7.45
17500;-189.55
17600;-146.55
17700;100.45
17800;-27.55
17900;23.45
18000;-194.55
18100;-129.55
18200;-12.55
18300;-445.55
18400;111.45
18500;-58.55
18600;-101.55
18700;-2.55
18800;-37.55
18900;-20.55
19000;12.45
19100;-51.55
19200;-122.55
19300;-23.55
19400;-13.55
19500;-160.55
19600;9.45
19700;-147.55
19800;-127.55
19900;-145.55
20000;-63.55
20100;-94.55
20200;-60.55
20300;-65.55
20400;2.45
20500;28.45
20600;-36.55
20700;-137.55
20800;-132.55
20900;63.45
21000;43.45
21100;12.45
21200;83.45
21300;-106.55
21400;-53.55
21500;88.45
21600;-25.55
21700;90.45
21800;-37.55
21900;-25.55
22000;-111.55
22100;-198.55
22200;-93.55
22300;16.45
22400;-141.55
22500;-9.55
22600;-289.55
22700;4.45
22800;-90.55
22900;-206.55
23000;-29.55
23100;11.45
23200;-153.55
23300;-119.55
23400;-52.55
23500;-44.55
23600;22.45
23700;-10.55
23800;-158.55
23900;-22.55
24000;-168.55
24100;171.45
24200;-74.55
24300;-146.55
24400;-89.55
24500;-94.55
24600;84.45
24700;92.45
24800;41.45
24900;-104.55
25000;-234.55
25100;58.45
25200;-152.55
25300;29.45
25400;-3.55
25500;-148.55
25600;-87.55
25700;44.45
25800;42.45
25900;18.45
26000;-99.55
26100;-84.55
26200;-29.55
26300;174.45
26400;-211.55
26500;-58.55
26600;-42.55
26700;-56.55
26800;-98.55
26900;125.45
27000;-37.55
27100;-47.55
27200;4.45
27300;-43.55
27400;44.45
27500;51.45
27600;-103.55
27700;-145.55
27800;1.45
27900;-3.55
28000;27.45
28100;-165.55
28200;-111.55
28300;-27.55
28400;-83.55
28500;26.45
28600;-217.55
28700;-338.55
28800;-44.55
28900;-117.55
29000;-113.55
29100;-126.55
29200;-27.55
29300;-28.55
29400;90.45
29500;55.45
29600;-93.55
29700;-54.55
29800;13.45
29900;30.45
30000;186.45
30100;-55.55
30200;-194.55
30300;-50.55
30400;15.45
30500;153.45
30600;-122.55
30700;-112.55
30800;-32.55
30900;-282.55
31000;-193.55
31100;27.45
31200;22.45
31300;-81.55
31400;-29.55
31500;184.45
31600;-266.55
31700;-93.55
